Sample_Name_Unique,Sample_Name,PCR_setting,Experiment,Replicate
W2_x_T00,W2_x_T00,Standard,ROBO,I
W2_x_T00_v1,W2_x_T00,Standard,ROBO,II
W2_x_T-48,W2_x_T-48,Standard,ROBO,I
W2_x_T-48_v1,W2_x_T-48,Standard,ROBO,II
W3_a_T00,W3_a_T00,Standard,ROBO,I
W3_a_T00_v1,W3_a_T00,Standard,ROBO,II
W3_a_T36,W3_a_T36,Standard,ROBO,I
W3_a_T36_v1,W3_a_T36,Standard,ROBO,II
W3_c_T00,W3_c_T00,Standard,ROBO,I
W3_c_T00_v1,W3_c_T00,Standard,ROBO,II
W3_c_T36,W3_c_T36,Standard,ROBO,I
W3_c_T36_v1,W3_c_T36,Standard,ROBO,II
W3_w_T00,W3_w_T00,Standard,ROBO,I
W3_w_T00_v1,W3_w_T00,Standard,ROBO,II
W3_w_T36,W3_w_T36,Standard,ROBO,I
W3_w_T36_v1,W3_w_T36,Standard,ROBO,II
W3_x_T00,W3_x_T00,Standard,ROBO,I
W3_x_T00_v1,W3_x_T00,Standard,ROBO,II
W3_x_T-48,W3_x_T-48,Standard,ROBO,I
W3_x_T-48_v1,W3_x_T-48,Standard,ROBO,II
