"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig","ESV","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","X","X.1","X.2","X.3","X.4","DA_in"
"Otu00277","Otu00277",0.000346876620281595,0.00507307057161833,0.0196247270205395,0.110479944708223,0.000605096876389656,0.0102194139123586,1.82045204320713,1.18356260768521,1.55081910155532,"Y","N","Y","esv_281","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","",NA,NA,NA,"","Non-bleached + Heated and Bleached + Heated"
"Otu00284","Otu00284",0.160204111494491,0.520079900515794,0.080659332806855,0.314364579144666,0.675982048041218,0.997343993153846,2.59245769509374,3.22238214404791,-0.691202236005909,"N","N","N","esv_288","Otu00284","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Nitrincolaceae","Nitrincolaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00289","Otu00289",0.480486871949792,0.801717482704586,0.472588638471229,0.835272942414265,0.802426533321183,0.997343993153846,-1.32176662598969,-1.33478787284449,-0.413835504520039,"N","N","N","esv_294","Otu00289","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Lentilitoribacter","",NA,NA,NA,"","NNN"
"Otu00290","Otu00290",0.866727070563375,0.964756238204011,0.320478907964757,0.76613611873938,0.856925795443531,0.997343993153846,-0.216748090001148,1.27900689612573,0.207647319739121,"N","N","N","esv_295","Otu00290","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00003","Otu00003",0.119124632213338,0.449599418353565,0.17695054211443,0.584706139160727,0.0725891341134685,0.367784946174907,-0.968663370581131,-0.838699510422498,-0.997352693128984,"N","N","N","esv_3","Otu00003","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","",NA,NA,NA,"","NNN"
"Otu00030","Otu00030",0.302217932769505,0.679990348731387,0.852116538483604,0.959420102588947,0.144301661232682,0.645113309040224,0.581070214716145,0.10494906333615,0.734842178465941,"N","N","N","esv_30","Otu00030","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00295","Otu00295",0.379434119912193,0.754232410160575,0.814593041910691,0.944210178394839,0.525764028124342,0.997343993153846,-1.12687942018087,0.297503728378931,-0.720288964722826,"N","N","N","esv_300","Otu00295","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00299","Otu00299",0.0940957086226118,0.394038388015291,0.0278192576244031,0.145811281341699,0.0617505071250457,0.323657830448515,1.5180845087779,1.98487249751596,1.50795566425326,"N","N","N","esv_304","Otu00299","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
"Otu00301","Otu00301",0.900732545967191,0.964756238204011,0.443935001687406,0.816754226383084,0.834499642817962,0.997343993153846,-0.163685735981797,1.00165340743927,0.244523496110518,"N","N","N","esv_306","Otu00301","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","uncultured","",NA,NA,NA,"","NNN"
"Otu00308","Otu00308",0.403783753020721,0.754232410160575,0.741254969415163,0.931163267364503,0.73553324705318,0.997343993153846,-1.0351445795174,-0.402579327025449,0.366641346467128,"N","N","N","esv_315","Otu00308","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","",NA,NA,NA,"","NNN"
