"","ASV","heated.p","heated.padj","bleached.p","bleached.padj","bleached.heated.p","bleached.heated.padj","heated.l2fc","bleached.l2fc","bleached.heated.l2fc","heated.sig","bleached.sig","bleached.heated.sig"
"65","Otu00047",0.247669421486522,0.523027252228788,0.632976397286098,0.947515460211738,0.932473983561054,0.981452785874647,1.34232464126013,0.535440968732947,-0.0842791249780496,"N","N","N"
"66","Otu00048",3.1247292158605e-07,1.51549366969234e-05,0.0375152955259664,0.158216681131249,7.42075934576142e-06,0.000359906828269429,-1.65001107309484,-0.670234147645724,-1.28808180200664,"Y","N","Y"
"67","Otu00005",0.368344953240186,0.648707038166285,0.749463988964474,0.962198110632813,0.102153650744472,0.521521269590198,0.573269305918869,0.198041114793273,0.90436184245076,"N","N","N"
"68","Otu00480",0.114829970357769,0.408817672854667,0.000155500522314722,0.00215479295207543,0.512524588758599,0.981452785874647,-2.37823980289602,-5.67028646868157,-0.881991515156451,"N","Y","N"
"69","Otu00052",0.571579756522403,0.756550845852106,0.982360579091856,1,0.77269352476493,0.981452785874647,0.77899346150839,0.0302679707712789,0.353465452787424,"N","N","N"
"70","Otu00053",0.125276369155125,0.419027855449902,0.552946117094005,0.882049290925521,0.177433474336751,0.748306391768035,1.48020074134811,0.567303691178053,1.15255634224955,"N","N","N"
"71","Otu00499",0.860231929870673,0.935462682620678,0.984837659960636,1,0.783940822542455,0.981452785874647,0.346517344798277,0.0372141639224427,-0.479506623091089,"N","N","N"
"72","Otu00511",0.111801507352963,0.408817672854667,0.0775693245565893,0.281715463697447,0.877740739015085,0.981452785874647,-3.50706016901572,-3.88867300362663,-0.303983506590443,"N","N","N"
"73","Otu00056",0.873884041822039,0.935462682620678,0.716505945536257,0.962198110632813,0.411908322545531,0.981452785874647,-0.0668304865674584,0.150623012381924,0.302441336913137,"N","N","N"
"74","Otu00057",0.0344300298732187,0.208732056106388,0.652025101899894,0.947515460211738,0.302709899733357,0.889783644670776,-1.90299515409465,-0.405897837869223,0.830188791605395,"N","N","N"
"75","Otu00058",0.00254402617700051,0.0411284231948415,0.572532303721893,0.882049290925521,0.0229924527103582,0.185855659408729,2.56917780857435,0.471915296408168,1.70107800784977,"Y","N","N"
"76","Otu00006",0.0712068438965008,0.345353192898029,0.7607916287415,0.962198110632813,0.438356528424772,0.981452785874647,-1.19278126172235,0.201299580759071,0.458062023681122,"N","N","N"
"77","Otu00060",0.520278589763072,0.708266522532901,0.443617601129718,0.782380132901502,0.700503913227264,0.981452785874647,0.422382809454042,0.50153443706773,0.224874643762175,"N","N","N"
"78","Otu00562",0.903421040689757,0.949583165716375,6.08861545861368e-13,5.90595699485527e-11,0.802050533132555,0.981452785874647,-0.297835162124152,20.4616811951654,-0.5494290551797,"N","Y","N"
"79","Otu00565",0.612416646511981,0.766830044208223,0.316003799874422,0.699539455443832,0.936308949133131,0.981452785874647,1.06535185940264,2.10541811666257,0.148838454428639,"N","N","N"
"80","Otu00061",0.706798386547675,0.846412882655857,0.358833219463214,0.740570686977272,0.663866305934416,0.981452785874647,-0.193527894515352,0.469700072443215,0.197807738065517,"N","N","N"
"81","Otu00063",0.201807627508088,0.489383496707113,0.275058626173586,0.699539455443832,0.732611090540775,0.981452785874647,2.32590031826127,1.96176859001494,0.546146433505414,"N","N","N"
"82","Otu00585",0.861293682156085,0.935462682620678,0.921589359524665,0.974135770760056,0.618040403472459,0.981452785874647,0.543469090229321,0.305466448213232,1.38416469863848,"N","N","N"
"83","Otu00589",0.193154817175433,0.480410699128641,0.139406427415062,0.46629046411245,0.920272772843809,0.981452785874647,-2.86030545898176,-3.24584284157327,-0.196893962424326,"N","N","N"
"84","Otu00590",NA,NA,NA,NA,NA,NA,-0.326330779023292,-3.64199697680747,-0.821560477935503,NA,NA,NA
"85","Otu00604",0.479766479787368,0.697642920854265,0.4254132054721,0.778586432656484,0.931326369765195,0.981452785874647,1.36411579244303,1.51790863353826,0.145282256773708,"N","N","N"
"86","Otu00610",0.91042509702704,0.949583165716375,0.85768926572876,0.974135770760056,0.92540412497838,0.981452785874647,0.225174199975142,0.356862489759172,0.166232258481612,"N","N","N"
"87","Otu00067",0.813327385365547,0.918413063358883,0.719165427954545,0.962198110632813,0.89669381394502,0.981452785874647,0.466524166600947,-0.702851989298456,-0.226879347409165,"N","N","N"
"88","Otu00007",0.993932657485038,0.993932657485038,0.187870008617064,0.569480963620475,0.506802808688976,0.981452785874647,-0.00572208033678045,-0.962194835709699,0.435353454732808,"N","N","N"
"89","Otu00649",0.00928885561437007,0.0819108176903542,0.00548150704416501,0.0409004756372312,0.00343954129139692,0.0556059175442503,-2.06364185763648,-2.18421014663505,-2.05651997002504,"N","Y","N"
"90","Otu00075",0.00765946482583436,0.0819108176903542,0.000350845836261424,0.00340320461173581,0.00964108381493126,0.116767459199048,-2.7258602880812,-3.65123674066206,-2.36539716363062,"N","Y","N"
"91","Otu00721",0.650411107143872,0.798606042948805,0.33714633510276,0.710939010977558,0.410101884559121,0.981452785874647,-1.13112592373802,-2.38984406746757,-1.83456350023272,"N","N","N"
"92","Otu00008",0.0092253127170949,0.0819108176903542,0.0305644746878627,0.141178764034413,0.014793462866892,0.143496589808853,1.06823884644211,0.880893659482069,0.886104995919142,"N","N","N"
"93","Otu00083",0.187227426375885,0.480410699128641,0.31408688239812,0.699539455443832,0.578379550775746,0.981452785874647,1.62795555177191,1.20815241478918,0.590729092793778,"N","N","N"
"94","Otu00085",0.0137244360577529,0.105407965643285,0.000202715258798874,0.00245792251293634,0.0312735372194557,0.233348700791323,-2.09569293021107,-3.15646287720092,-1.63679753109625,"N","Y","N"
"95","Otu00009",0.0822366526303636,0.346824143701968,0.000311772991911654,0.00336022002393671,0.976461844027932,0.981452785874647,1.22468284321627,2.5414759339348,0.0184750885071625,"N","Y","N"
"96","Otu00823",0.00850715240419227,0.0819108176903542,0.0034053810240366,0.0276218318264829,0.00191891855511432,0.0372270199692178,-8.16986736548022,-9.05787213663503,-8.73322522962344,"N","Y","Y"
"97","Otu00093",0.807456119836059,0.918413063358883,0.32419140391648,0.699539455443832,0.962036164703657,0.981452785874647,-0.196085827536986,-0.787913020762203,0.0340219566921668,"N","N","N"
"98","Otu00095",NA,NA,NA,NA,NA,NA,7.36052569905555,8.00609785206789,1.94337362314776,NA,NA,NA
"99","Otu00853",0.000558917462742968,0.0108429987772136,1,1,4.53435283809459e-05,0.00146610741765058,-9.4471507874263,0,-10.1922189245443,"Y","N","Y"
"100","Otu00862",0.774545915370114,0.916231143791476,0.288096958328605,0.699539455443832,0.368214993952742,0.965320389551783,-0.381155314708855,-1.38886077216024,-1.05123543584672,"N","N","N"
