Sample Name,Temp,Bleaching_Status,Stress_status,Treatment,Sample_Type,Timepoint_char,Timepoint,Bottle_NR,Notes,PLANC_aquaria,Experiment
ABC_239,Hot,Non Bleached,Thermal Stress,Heated,FCM,T32,32,6,,HE3_T7H,ABCDOM
ABC_240,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T32,32,7,,,ABCDOM
ABC_241,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T32,32,8,,,ABCDOM
ABC_242,Hot,NA,Thermal Stress,Negative Control + Heated,FCM,T32,32,9,,,ABCDOM
ABC_243,Ambient,Bleached,Ambient,Bleached,FCM,T32,32,10,,BL1_T7C,ABCDOM
ABC_244,Ambient,Bleached,Ambient,Bleached,FCM,T32,32,11,,BL2_T7C,ABCDOM
ABC_245,Ambient,Bleached,Ambient,Bleached,FCM,T32,32,12,,BL3_T7C,ABCDOM
ABC_246,Ambient,Non Bleached,Ambient,Control,FCM,T32,32,13,,HE1_T7C,ABCDOM
ABC_247,Ambient,Non Bleached,Ambient,Control,FCM,T32,32,14,,HE2_T7C,ABCDOM
ABC_248,Ambient,Non Bleached,Ambient,Control,FCM,T32,32,15,,HE3_T7C,ABCDOM
ABC_249,Ambient,NA,Ambient,Negative Control,FCM,T32,32,16,,,ABCDOM
ABC_250,Ambient,NA,Ambient,Negative Control,FCM,T32,32,17,,,ABCDOM
ABC_251,Ambient,NA,Ambient,Negative Control,FCM,T32,32,18,,,ABCDOM
ABC_252,Hot,Bleached,Thermal Stress,Bleached + Heated,FCM,Tend,36,1,,PB1_T7H,ABCDOM
