ID1,ID2,EdgeType,Score,Annotation
1126,10949,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9843
1138,1238,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1139,7859,MS1 annotation,3.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
1139,9008,MS1 annotation,3.000,[M+K]+ [M+K]+ dm/z=0.0000
1141,2606,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0483
1153,1568,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0377
1156,1647,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0368
1156,1465,MS1 annotation,3.000,[M-2H2O+H]+ [M-H2O+H]+ dm/z=18.0106
1168,8667,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1168,6400,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1178,1317,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0002
1182,7797,MS1 annotation,3.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9841
1182,11596,MS1 annotation,3.000,[M+K]+ [M+K]+ dm/z=0.0000
1187,2513,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0267
1187,3549,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
1189,5997,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1196,3187,MS1 annotation,3.000,[M+HFA+K]+ [M+Na]+ dm/z=61.9795
1196,3378,MS1 annotation,3.000,[M+HFA+K]+ [M+Na]+ dm/z=61.9795
1196,9069,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9999
1205,1257,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1208,1430,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0001
1208,6589,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9843
1209,1528,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0266
1218,1428,MS1 annotation,3.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
1218,1385,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1223,8349,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9844
1223,9098,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9997
1227,2036,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
1229,1573,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0269
1241,1281,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
1262,1462,MS1 annotation,3.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1262,8549,MS1 annotation,3.000,[M+ACN+H]+ [M+ACN+H]+ dm/z=0.0001
1262,8549,MS1 annotation,3.000,[M-2H2O+Na]+ [M-2H2O+Na]+ dm/z=0.0001
1262,2804,MS1 annotation,3.000,[M+K]+ [M-2H2O+Na]+ dm/z=51.9950
1264,9612,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=23.9998
1267,1574,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0268
1271,2948,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
1297,7794,MS1 annotation,2.000,[M-H2O+Na]+ [M+K]+ dm/z=33.9843
1317,1457,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0000
1317,1549,MS1 annotation,2.000,[M+K]+ [M-H2O+Na]+ dm/z=33.9842
1334,1497,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1350,8472,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1364,1627,MS1 annotation,2.000,[M+NH4]+ [M+ACN+H]+ dm/z=24.0000
1364,1622,MS1 annotation,2.000,[M+ACN+H]+ [M+NH4]+ dm/z=24.0001
1367,1566,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
1367,1653,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0270
